,index,fonction,cat,grade,Echelon,durée,Indice Brut,Indice majoré,salaire brut,indice majoré calculé
103,104,Adjoint d'administration de l'aviation civile,C,2,6,inf,404,365,1710.4,365.0
104,105,Adjoint d'administration de l'aviation civile,C,2,7,inf,416,370,1733.83,370.0
105,106,Adjoint d'administration de l'aviation civile,C,2,8,inf,430,380,1780.69,380.0
106,107,Adjoint d'administration de l'aviation civile,C,2,9,inf,446,392,1836.92,392.0
107,108,Adjoint d'administration de l'aviation civile,C,2,10,inf,461,404,1893.15,404.0
108,109,Adjoint d'administration de l'aviation civile,C,2,11,inf,473,412,1930.64,412.0
109,110,Adjoint d'administration de l'aviation civile,C,2,12,inf,486,420,1968.13,420.0
110,111,Adjoint d'administration de l'aviation civile,C,3,1,inf,367,340,1593.25,340.0
111,112,Adjoint d'administration de l'aviation civile,C,3,2,inf,368,341,1597.93,341.0
112,113,Adjoint d'administration de l'aviation civile,C,3,3,inf,370,342,1602.62,342.0
113,114,Adjoint d'administration de l'aviation civile,C,3,4,inf,371,343,1607.31,343.0
114,115,Adjoint d'administration de l'aviation civile,C,3,5,inf,374,345,1616.68,345.0
115,116,Adjoint d'administration de l'aviation civile,C,3,6,inf,378,348,1630.74,348.0
116,117,Adjoint d'administration de l'aviation civile,C,3,7,inf,381,351,1644.79,351.0
117,118,Adjoint d'administration de l'aviation civile,C,3,8,inf,387,354,1658.85,354.0
118,119,Adjoint d'administration de l'aviation civile,C,3,9,inf,401,363,1701.03,363.0
119,120,Adjoint d'administration de l'aviation civile,C,3,10,inf,419,372,1743.2,372.0
120,121,Adjoint d'administration de l'aviation civile,C,3,11,inf,432,382,1790.06,382.0
121,122,Adjoint administratif du Ministère de la Transition écologique et solidaire,C,1,1,inf,388,355,1663.54,355.0
122,123,Adjoint administratif du Ministère de la Transition écologique et solidaire,C,1,2,inf,397,361,1691.66,361.0
123,124,Adjoint administratif du Ministère de la Transition écologique et solidaire,C,1,3,inf,412,368,1724.46,368.0
124,125,Adjoint administratif du Ministère de la Transition écologique et solidaire,C,1,4,inf,430,380,1780.69,380.0
125,126,Adjoint administratif du Ministère de la Transition écologique et solidaire,C,1,5,inf,448,393,1841.61,393.0
126,127,Adjoint administratif du Ministère de la Transition écologique et solidaire,C,1,6,inf,460,403,1888.47,403.0
127,128,Adjoint administratif du Ministère de la Transition écologique et solidaire,C,1,7,inf,478,415,1944.7,415.0
128,129,Adjoint administratif du Ministère de la Transition écologique et solidaire,C,1,8,inf,499,430,2014.99,430.0
129,130,Adjoint administratif du Ministère de la Transition écologique et solidaire,C,1,9,inf,525,450,2108.71,450.0
130,131,Adjoint administratif du Ministère de la Transition écologique et solidaire,C,1,10,inf,558,473,2216.49,473.0
131,132,Adjoint administratif du Ministère de la Transition écologique et solidaire,C,2,1,inf,368,341,1597.93,341.0
132,133,Adjoint administratif du Ministère de la Transition écologique et solidaire,C,2,2,inf,371,343,1607.31,343.0
133,134,Adjoint administratif du Ministère de la Transition écologique et solidaire,C,2,3,inf,376,346,1621.36,346.0
134,135,Adjoint administratif du Ministère de la Transition écologique et solidaire,C,2,4,inf,387,354,1658.85,354.0
135,136,Adjoint administratif du Ministère de la Transition écologique et solidaire,C,2,5,inf,396,360,1686.97,360.0
136,137,Adjoint administratif du Ministère de la Transition écologique et solidaire,C,2,6,inf,404,365,1710.4,365.0
137,138,Adjoint administratif du Ministère de la Transition écologique et solidaire,C,2,7,inf,416,370,1733.83,370.0
138,139,Adjoint administratif du Ministère de la Transition écologique et solidaire,C,2,8,inf,430,380,1780.69,380.0
139,140,Adjoint administratif du Ministère de la Transition écologique et solidaire,C,2,9,inf,446,392,1836.92,392.0
140,141,Adjoint administratif du Ministère de la Transition écologique et solidaire,C,2,10,inf,461,404,1893.15,404.0
141,142,Adjoint administratif du Ministère de la Transition écologique et solidaire,C,2,11,inf,473,412,1930.64,412.0
142,143,Adjoint administratif du Ministère de la Transition écologique et solidaire,C,2,12,inf,486,420,1968.13,420.0
143,144,Adjoint administratif du Ministère de la Transition écologique et solidaire,C,3,1,inf,367,340,1593.25,340.0
144,145,Adjoint administratif du Ministère de la Transition écologique et solidaire,C,3,2,inf,368,341,1597.93,341.0
145,146,Adjoint administratif du Ministère de la Transition écologique et solidaire,C,3,3,inf,370,342,1602.62,342.0
146,147,Adjoint administratif du Ministère de la Transition écologique et solidaire,C,3,4,inf,371,343,1607.31,343.0
147,148,Adjoint administratif du Ministère de la Transition écologique et solidaire,C,3,5,inf,374,345,1616.68,345.0
148,149,Adjoint administratif du Ministère de la Transition écologique et solidaire,C,3,6,inf,378,348,1630.74,348.0
149,150,Adjoint administratif du Ministère de la Transition écologique et solidaire,C,3,7,inf,381,351,1644.79,351.0
150,151,Adjoint administratif du Ministère de la Transition écologique et solidaire,C,3,8,inf,387,354,1658.85,354.0
151,152,Adjoint administratif du Ministère de la Transition écologique et solidaire,C,3,9,inf,401,363,1701.03,363.0
152,153,Adjoint administratif du Ministère de la Transition écologique et solidaire,C,3,10,inf,419,372,1743.2,372.0
153,154,Adjoint administratif du Ministère de la Transition écologique et solidaire,C,3,11,inf,432,382,1790.06,382.0
154,155,Technicien supérieur des études et de l'exploitation de l'aviation civile- TSEEAC,B,1,1,inf,572,483,2263.35,483.0
155,156,Technicien supérieur des études et de l'exploitation de l'aviation civile- TSEEAC,B,1,2,inf,593,500,2343.01,500.0
156,157,Technicien supérieur des études et de l'exploitation de l'aviation civile- TSEEAC,B,1,3,inf,616,517,2422.67,517.0
157,158,Technicien supérieur des études et de l'exploitation de l'aviation civile- TSEEAC,B,1,4,inf,644,538,2521.08,538.0
158,159,Technicien supérieur des études et de l'exploitation de l'aviation civile- TSEEAC,B,1,5,inf,674,561,2628.86,561.0
159,160,Technicien supérieur des études et de l'exploitation de l'aviation civile- TSEEAC,B,1,6,inf,687,571,2675.72,571.0
