web-scraper-order,web-scraper-start-url,fonction,fonction-href,Echelon,Indice Brut,Indice majoré,Durée,Salaire brut,catA,catB,catC
"1651681737-7392","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Agent comptable du centre régional des œuvres universitaires et scolaires (CROUS) – emploi fonctionnel","https://www.emploi-collectivites.fr/grille-indiciaire-etat-agent-comptable-centre-regional-uvres-universitaires-scolaires-crous-emploi/1/6326.htm","","HEB2","-","1 an","4 746,94 €","A","null","null"
"1651681249-5855","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Conseiller d'administration de l'écologie, du développement et de l'aménagement durables (Emploi fonctionnel)","https://www.emploi-collectivites.fr/grille-indiciaire-etat-conseiller-administration-ecologie-developpement-amenagement-durables/1/5785.htm","4","812","666","2 ans","3 120,89 €","A","null","null"
"1651681388-6181","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Psychologue de l'éducation nationale","https://www.emploi-collectivites.fr/grille-indiciaire-etat-psychologue-education-nationale/1/6576.htm","3","956","775","2 ans 6 mois","3 631,67 €","A","null","null"
"1651682486-11707","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Personnels d'exploitation des travaux publics de l'Etat -TPE","https://www.emploi-collectivites.fr/grille-indiciaire-etat-personnels-exploitation-travaux-publics-tpe/1/5800.htm","5","374","345","1 an","1 616,68 €","null","null","C"
"1651682081-9237","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Chargé de mission de l'institut national de la statistique et des études économiques (INSEE)-corps en voie d'extinction","https://www.emploi-collectivites.fr/grille-indiciaire-etat-charge-mission-institut-national-statistique-etudes-economiques-insee-corps/1/5335.htm","1","379","349","1 an","1 635,42 €","A","null","null"
"1651681627-7176","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Conservateur des bibliothèques","https://www.emploi-collectivites.fr/grille-indiciaire-etat-conservateur-bibliotheques/1/5742.htm","","HEA2","-","1 an","4 334,57 €","A","null","null"
"1651682279-10649","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Officier de carrière de l'armée de terre","https://www.emploi-collectivites.fr/grille-indiciaire-etat-officier-carriere-armee-terre/1/6078.htm","","HEA2","-","1 an","4 334,57 €","A","null","null"
"1651682304-10762","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Ingénieur militaire d'infrastructure de la défense IMI","https://www.emploi-collectivites.fr/grille-indiciaire-etat-ingenieur-militaire-infrastructure-defense-imi/1/6095.htm","2","833","682","1 an","3 195,87 €","A","null","null"
"1651681167-5378","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Directeur de recherche du développement durable","https://www.emploi-collectivites.fr/grille-indiciaire-etat-directeur-recherche-developpement-durable/1/5754.htm","3","HEC","-","1 an","5 267,09 €","A","null","null"
"1651682304-10777","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Ingénieur militaire d'infrastructure de la défense IMI","https://www.emploi-collectivites.fr/grille-indiciaire-etat-ingenieur-militaire-infrastructure-defense-imi/1/6095.htm","10","804","660","3 ans","3 092,78 €","A","null","null"
