web-scraper-order,web-scraper-start-url,fonction,fonction-href,Echelon,Indice Brut,Indice majoré,Durée,Salaire brut,catA,catB,catC
1651680765-1918,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Maître des requêtes du Conseil d'Etat -CE,https://www.emploi-collectivites.fr/grille-indiciaire-etat-maitre-requetes-conseil/1/5663.htm,3,912,743,2 ans,"3 481,72 €",A,,
1651680778-2143,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Magistrat du premier grade de l'ordre judiciaire,https://www.emploi-collectivites.fr/grille-indiciaire-etat-magistrat-premier-grade-ordre-judiciaire/1/5672.htm,,HEB2,-,1 an,"4 746,94 €",A,,
1651680830-2821,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Coordonnateur de formation de l'Ecole nationale de la magistrature (ENM),https://www.emploi-collectivites.fr/grille-indiciaire-etat-coordonnateur-formation-ecole-nationale-magistrature-enm/1/6246.htm,2,862,705,1 an 6 mois,"3 303,65 €",A,,
1651682511-11921,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Secrétaire administratif des administrations de l'Etat,https://www.emploi-collectivites.fr/grille-indiciaire-etat-secretaire-administratif-administrations/1/5052.htm,10,684,569,3 ans,"2 666,35 €",,B,
1651682562-12311,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Administrateur de l'Etat,https://www.emploi-collectivites.fr/grille-indiciaire-etat-administrateur/1/5048.htm,4,HEBBis,-,1 an,"4 999,99 €",A,,
1651681743-7472,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Administrateur de l'éducation nationale et de la Jeunesse,https://www.emploi-collectivites.fr/grille-indiciaire-etat-administrateur-education-nationale-jeunesse/1/5627.htm,3,883,720,1 an 6 mois,"3 373,94 €",A,,
1651682511-11912,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Secrétaire administratif des administrations de l'Etat,https://www.emploi-collectivites.fr/grille-indiciaire-etat-secretaire-administratif-administrations/1/5052.htm,1,446,392,1 an,"1 836,92 €",,B,
1651682562-12307,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Administrateur de l'Etat,https://www.emploi-collectivites.fr/grille-indiciaire-etat-administrateur/1/5048.htm,,HEA3,-,1 an,"4 554,82 €",A,,
1651680771-2064,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Magistrat du tribunal administratif et cour administrative d’appel,https://www.emploi-collectivites.fr/grille-indiciaire-etat-magistrat-tribunal-administratif-cour-administrative-appel/1/6117.htm,,HEB3,-,1 an,"4 999,99 €",A,,
1651682562-12330,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Administrateur de l'Etat,https://www.emploi-collectivites.fr/grille-indiciaire-etat-administrateur/1/5048.htm,,HEB3,-,2 ans,"4 999,99 €",A,,
1651680765-1916,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Maître des requêtes du Conseil d'Etat -CE,https://www.emploi-collectivites.fr/grille-indiciaire-etat-maitre-requetes-conseil/1/5663.htm,1,813,667,2 ans,"3 125,58 €",A,,
1651682511-11920,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Secrétaire administratif des administrations de l'Etat,https://www.emploi-collectivites.fr/grille-indiciaire-etat-secretaire-administratif-administrations/1/5052.htm,9,660,551,3 ans,"2 582,00 €",,B,
1651682511-11937,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Secrétaire administratif des administrations de l'Etat,https://www.emploi-collectivites.fr/grille-indiciaire-etat-secretaire-administratif-administrations/1/5052.htm,2,379,349,2 ans,"1 635,42 €",,B,
1651682562-12319,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Administrateur de l'Etat,https://www.emploi-collectivites.fr/grille-indiciaire-etat-administrateur/1/5048.htm,,HED3,-,-,"5 993,43 €",A,,
1651681743-7477,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Administrateur de l'éducation nationale et de la Jeunesse,https://www.emploi-collectivites.fr/grille-indiciaire-etat-administrateur-education-nationale-jeunesse/1/5627.htm,,HEA2,-,1 an,"4 334,57 €",A,,
1651682511-11944,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Secrétaire administratif des administrations de l'Etat,https://www.emploi-collectivites.fr/grille-indiciaire-etat-secretaire-administratif-administrations/1/5052.htm,9,500,431,3 ans,"2 019,68 €",,B,
1651680842-2999,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Chef de service éducatif de la protection judiciaire de la jeunesse,https://www.emploi-collectivites.fr/grille-indiciaire-etat-chef-service-educatif-protection-judiciaire-jeunesse/1/5683.htm,9,776,638,,"2 989,68 €",A,,
1651682511-11943,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Secrétaire administratif des administrations de l'Etat,https://www.emploi-collectivites.fr/grille-indiciaire-etat-secretaire-administratif-administrations/1/5052.htm,8,478,415,3 ans,"1 944,70 €",,B,
1651680842-2993,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Chef de service éducatif de la protection judiciaire de la jeunesse,https://www.emploi-collectivites.fr/grille-indiciaire-etat-chef-service-educatif-protection-judiciaire-jeunesse/1/5683.htm,3,590,498,2 ans,"2 333,64 €",A,,
